region,product,channel,month,sales,quantity,profit
华南,笔记本,企业采购,2024-01,2860000,220,572000
华南,显示器,线上商城,2024-01,186000,95,37200
华南,键盘,线下门店,2024-01,4200,70,840
华东,笔记本,企业采购,2024-01,920000,80,138000
华东,显示器,线上商城,2024-01,98000,52,19600
华东,键盘,线下门店,2024-01,8600,140,1720
华北,笔记本,企业采购,2024-01,215000,22,32250
华北,显示器,线上商城,2024-01,31000,18,6200
华北,键盘,线下门店,2024-01,2400,40,480
西南,笔记本,企业采购,2024-01,42000,6,6300
西南,显示器,线上商城,2024-01,6800,5,1360
西南,键盘,线下门店,2024-01,520,8,78
华南,笔记本,企业采购,2024-02,4120000,310,824000
华南,显示器,线上商城,2024-02,268000,128,53600
华南,键盘,线下门店,2024-02,3100,52,620
华东,笔记本,企业采购,2024-02,1050000,88,157500
华东,显示器,线上商城,2024-02,72000,38,14400
华东,键盘,线下门店,2024-02,5400,90,1080
华北,笔记本,企业采购,2024-02,168000,16,25200
华北,显示器,线上商城,2024-02,18500,11,3700
华北,键盘,线下门店,2024-02,1600,26,320
西南,笔记本,企业采购,2024-02,28000,4,4200
西南,显示器,线上商城,2024-02,3900,3,780
西南,键盘,线下门店,2024-02,310,5,46
