区域,产品,渠道,日期,销售额,数量,利润
华南,笔记本,企业采购,2024/1/1,2860000,220,572000
华南,显示器,线上商城,2024/1/1,186000,95,37200
华南,键盘,线下门店,2024/1/1,4200,70,840
华东,笔记本,企业采购,2024/1/1,920000,80,138000
华东,显示器,线上商城,2024/1/1,98000,52,19600
华东,键盘,线下门店,2024/1/1,8600,140,1720
华北,笔记本,企业采购,2024/1/1,215000,22,32250
华北,显示器,线上商城,2024/1/1,31000,18,6200
华北,键盘,线下门店,2024/1/1,2400,40,480
西南,笔记本,企业采购,2024/1/1,42000,6,6300
西南,显示器,线上商城,2024/1/1,6800,5,1360
西南,键盘,线下门店,2024/1/1,520,8,78
华南,笔记本,企业采购,2024/2/1,4120000,310,824000
华南,显示器,线上商城,2024/2/1,268000,128,53600
华南,键盘,线下门店,2024/2/1,3100,52,620
华东,笔记本,企业采购,2024/2/1,1050000,88,157500
华东,显示器,线上商城,2024/2/1,72000,38,14400
华东,键盘,线下门店,2024/2/1,5400,90,1080
华北,笔记本,企业采购,2024/2/1,168000,16,25200
华北,显示器,线上商城,2024/2/1,18500,11,3700
华北,键盘,线下门店,2024/2/1,1600,26,320
西南,笔记本,企业采购,2024/2/1,28000,4,4200
西南,显示器,线上商城,2024/2/1,3900,3,780
西南,键盘,线下门店,2024/2/1,310,5,46
